name,position,group,club,division,based_in,division_tier,tier_quality,date_of_birth,birth_month,birth_quarter,age_(days)_on_1_july_2015,age_(months)_on_1_july_2015,age_(years)_on_1_july_2015,birth_city,nation_of_birth,birth_region,nationality,second_nationality,height_(ft_in),height_(ft),height_(in),height_(cm),weight_(kg),goals,appearances,is_top_4_tier,train_or_test
Connor Perry-Holmes,AM (C),Forward,Kidderminster,NaN,ENG,NONE,7,08/12/1998,12,2,6049,198,16,NaN,ENG,UK & Ireland,ENG,,,,,184,72,2,2,,
Rushian Hepburn-Murphy,ST (C),Forward,Aston Villa,English Premier Division,ENG,ENG1,1,28/08/1998,8,4,6151,202,16,Birmingham,ENG,UK & Ireland,ENG,,,,,171,66,0,1,,
Dan Matsuzaka,D (C),Defender,Southend,English Football League 1,ENG,ENG3,4,13/08/1998,8,4,6166,202,16,NaN,ENG,UK & Ireland,ENG,,,,,196,88,0,10,,
Josh Baker,M/AM (C),Midfielder,Hull,English Football League Championship,ENG,ENG2,3,14/07/1998,7,4,6196,203,16,Winterton,ENG,UK & Ireland,ENG,,,,,180,70,0,3,,
James Tilley,"M (RL), AM (RLC), ST (C)",Midfielder,Brighton,English Football League Championship,ENG,ENG2,3,13/06/1998,6,4,6227,204,17,Haywards Heath,ENG,UK & Ireland,ENG,,,,,183,75,0,1,,
Tolani Omotala,ST (C),Forward,Tranmere,NaN,ENG,NONE,7,16/04/1998,4,3,6285,206,17,NaN,ENG,UK & Ireland,ENG,,,,,181,68,0,1,,
Reece Webb-Foster,ST (C),Forward,Bradford City,English Football League 1,ENG,ENG3,4,07/03/1998,3,3,6325,207,17,Keighley,ENG,UK & Ireland,ENG,,,,,181,58,0,1,,
Mathew Stevens,ST (C),Forward,Barnet,English Football League 2,ENG,ENG4,5,12/02/1998,2,2,6348,208,17,NaN,ENG,UK & Ireland,ENG,,,,,181,64,0,1,,
Corbin Shires,D (C),Defender,Mansfield,English Football League 2,ENG,ENG4,5,31/12/1997,12,2,6391,210,17,NaN,ENG,UK & Ireland,ENG,,,,,194,74,2,8,,
James Bree,"D/WB (R), M (RC)",Defender,Barnsley,English Football League 1,ENG,ENG3,4,11/12/1997,12,2,6411,210,17,Wakefield,ENG,UK & Ireland,ENG,,,,,172,60,0,12,,
Adam May,"DM, M (C)",Midfielder,Portsmouth,English Football League 2,ENG,ENG4,5,06/12/1997,12,2,6416,210,17,NaN,ENG,UK & Ireland,ENG,,,,,187,77,0,1,,
Oliver Shenton,M (C),Midfielder,Stoke,English Premier Division,ENG,ENG1,1,06/11/1997,11,1,6446,211,17,StokeNaNonNaNTrent,ENG,UK & Ireland,ENG,,,,,173,55,0,1,,
Jodi Jones,AM (C),Forward,Dag & Red,English Football League 2,ENG,ENG4,5,22/10/1997,10,1,6461,212,17,London,ENG,UK & Ireland,ENG,,,,,173,62,1,2,,
Ben Hirst,ST (C),Forward,York,English Football League 2,ENG,ENG4,5,21/10/1997,10,1,6462,212,17,York,ENG,UK & Ireland,ENG,,,,,186,82,0,3,,
Alec Jenkins,ST (C),Forward,Portimonense,Portuguese Second League,POR,#N/A,#N/A,20/10/1997,10,1,6463,212,17,NaN,ENG,UK & Ireland,ENG,POR,,,,180,71,0,1,,
Callum Thomas,GK,Goalkeeper,Charlton,English Football League Championship,ENG,ENG2,3,26/09/1997,9,1,6487,213,17,NaN,ENG,UK & Ireland,ENG,,,,,183,75,0,4,,
Karlan Ahearne-Grant,ST (C),Forward,Charlton,English Football League Championship,ENG,ENG2,3,18/09/1997,9,1,6495,213,17,London,ENG,UK & Ireland,ENG,SCO,,,,178,79,0,5,,
Cory Harvey,GK,Goalkeeper,Plymouth,English Football League 2,ENG,ENG4,5,16/09/1997,9,1,6497,213,17,Plymouth,ENG,UK & Ireland,ENG,,,,,178,71,0,4,,
Ainsley Maitland-Niles,M/AM (RC),Midfielder,Ipswich,English Football League Championship,ENG,ENG2,3,29/08/1997,8,4,6515,214,17,Ilford,ENG,UK & Ireland,ENG,,,,,181,75,0,1,,
Joe Fitzpatrick,M (C),Midfielder,Mansfield,English Football League 2,ENG,ENG4,5,20/08/1997,8,4,6524,214,17,NaN,ENG,UK & Ireland,ENG,,,,,181,75,0,3,,
Joey Taylor,D (L),Defender,Welling,NaN,ENG,NONE,7,18/08/1997,8,4,6526,214,17,NaN,ENG,UK & Ireland,ENG,,,,,191,77,0,2,,
Dylan Mottley-Henry,"AM (RL), ST (C)",Forward,Bradford City,English Football League 1,ENG,ENG3,4,02/08/1997,8,4,6542,214,17,Leeds,ENG,UK & Ireland,ENG,,,,,182,76,0,1,,
Louis Reed,"DM, M (C)",Midfielder,Sheff Utd,English Football League 1,ENG,ENG3,4,25/07/1997,7,4,6550,215,17,Sheffield,ENG,UK & Ireland,ENG,,,,,166,58,0,20,,
Jake Orrell,M (C),Midfielder,Chesterfield,English Football League 1,ENG,ENG3,4,17/07/1997,7,4,6558,215,17,NaN,ENG,UK & Ireland,ENG,,,,,180,65,0,6,,
Rico Henry,D/WB (L),Defender,Walsall,English Football League 1,ENG,ENG3,4,08/07/1997,7,4,6567,215,17,Edgbaston,ENG,UK & Ireland,ENG,,,,,170,62,0,9,,
Luke Maxwell,M (C),Midfielder,Kidderminster,NaN,ENG,NONE,7,06/07/1997,7,4,6569,215,17,NaN,ENG,UK & Ireland,ENG,,,,,187,80,0,10,,
Louis Saebe,ST (C),Forward,Holbeach,NaN,ENG,NONE,7,05/07/1997,7,4,6570,215,17,NaN,ENG,UK & Ireland,ENG,,,,,176,69,0,2,,
Kieran Green,M (C),Midfielder,Hartlepool,English Football League 2,ENG,ENG4,5,30/06/1997,6,4,6575,216,18,StocktonNaNonNaNTees,ENG,UK & Ireland,ENG,,,,,175,80,0,1,,
Courtney Senior,AM (R),Forward,Brentford,English Football League Championship,ENG,ENG2,3,30/06/1997,6,4,6575,216,18,London,ENG,UK & Ireland,ENG,,,,,184,78,0,1,,
Henry Cameron,M/AM (R),Midfielder,Blackpool,English Football League 1,ENG,ENG3,4,28/06/1997,6,4,6577,216,18,Preston,ENG,UK & Ireland,ENG,NZL,,,,178,71,1,11,,
Scott Burgess,M (C),Midfielder,Bury,English Football League 1,ENG,ENG3,4,27/06/1997,6,4,6578,216,18,Warrington,ENG,UK & Ireland,ENG,,,,,177,70,0,1,,
Danny Gallagher,DM,Midfielder,AFC Wimbledon,English Football League 2,ENG,ENG4,5,26/06/1997,6,4,6579,216,18,Epsom,ENG,UK & Ireland,ENG,,,,,184,74,0,1,,
Sheyi Ojo,M/AM (C),Midfielder,Wolves,English Football League Championship,ENG,ENG2,3,19/06/1997,6,4,6586,216,18,Hemel Hempstead,ENG,UK & Ireland,ENG,NGA,,,,186,64,0,11,,
Ryan Wintle,AM (RC),Forward,Crewe,English Football League 1,ENG,ENG3,4,28/05/1997,5,3,6608,217,18,NaN,ENG,UK & Ireland,ENG,,,,,184,74,9,30,,
Tim Brown,GK,Goalkeeper,West Ham,English Premier Division,ENG,ENG1,1,26/05/1997,5,3,6610,217,18,NaN,ENG,UK & Ireland,ENG,,,,,189,81,0,33,,
Joe Gomez,D (C),Defender,Liverpool,English Premier Division,ENG,ENG1,1,19/02/1997,2,2,6706,220,18,London,ENG,UK & Ireland,ENG,GAM,,,,188,87,0,21,,
Matt Butcher,M (C),Midfielder,Bournemouth,English Premier Division,ENG,ENG1,1,03/02/1997,2,2,6722,220,18,Reading,ENG,UK & Ireland,ENG,,,,,188,78,0,1,,
Taylor Moore,"DM, M (C)",Midfielder,Racing Club de Lens,NaN,FRA,NONE,7,28/01/1997,1,2,6728,221,18,Walthamstow,ENG,UK & Ireland,ENG,,,,,184,80,0,4,,
Will Randall,ST (C),Forward,Swindon,English Football League 1,ENG,ENG3,4,29/12/1996,12,2,6758,222,18,NaN,ENG,UK & Ireland,ENG,,,,,180,72,0,5,,
Shawn McCoulsky,ST (C),Forward,Bristol City,English Football League Championship,ENG,ENG2,3,24/12/1996,12,2,6763,222,18,London,ENG,UK & Ireland,ENG,,,,,189,72,3,12,,
Callum Roberts,M/AM (R),Midfielder,Newcastle,English Premier Division,ENG,ENG1,1,18/12/1996,12,2,6769,222,18,South Shields,ENG,UK & Ireland,ENG,,,,,172,67,0,3,,
Liam Prynn,ST (C),Forward,Torquay,NaN,ENG,NONE,7,25/11/1996,11,1,6792,223,18,Truro,ENG,UK & Ireland,ENG,,,,,178,73,0,4,,
Ed Dryden,M (C),Midfielder,Stoke,English Premier Division,ENG,ENG1,1,19/11/1996,11,1,6798,223,18,Winchester,ENG,UK & Ireland,ENG,,,,,189,79,6,26,,
Josh Ginnelly,M/AM (R),Midfielder,Burnley,English Football League Championship,ENG,ENG2,3,13/11/1996,11,1,6804,223,18,Coventry,ENG,UK & Ireland,ENG,,,,,163,77,0,3,,
Mitchell Duggan,M (C),Midfielder,Tranmere,NaN,ENG,NONE,7,05/11/1996,11,1,6812,223,18,NaN,ENG,UK & Ireland,ENG,,,,,176,68,0,1,,
Tom Owen-Evans,M (RC),Midfielder,Newport Co,English Football League 2,ENG,ENG4,5,03/11/1996,11,1,6814,223,18,Bristol,ENG,UK & Ireland,ENG,,,,,180,72,0,1,,
Jake Pickard,ST (C),Forward,Queen of Sth,Scottish Championship,SCO,SCO2,6,01/11/1996,11,1,6816,224,18,NaN,ENG,UK & Ireland,ENG,,,,,186,70,0,11,,
Dan Fletcher,ST (C),Forward,Mansfield,English Football League 2,ENG,ENG4,5,17/10/1996,10,1,6831,224,18,NaN,ENG,UK & Ireland,ENG,,,,,192,83,2,13,,
Ben Harrison,D (L),Defender,AFC Wimbledon,English Football League 2,ENG,ENG4,5,09/10/1996,10,1,6839,224,18,London,ENG,UK & Ireland,ENG,,,,,180,74,0,7,,
Carl Taylor,"DM, M (C)",Midfielder,Carlisle,English Football League 2,ENG,ENG4,5,09/10/1996,10,1,6839,224,18,Middlesbrough,ENG,UK & Ireland,ENG,,,,,188,80,0,1,,
Jack Stobbs,M/AM (R),Midfielder,Sheff Wed,English Football League Championship,ENG,ENG2,3,08/10/1996,10,1,6840,224,18,Leeds,ENG,UK & Ireland,ENG,,,,,177,69,0,1,,
Liam Mandeville,ST (C),Forward,Doncaster,English Football League 1,ENG,ENG3,4,26/09/1996,9,1,6852,225,18,StocktonNaNonNaNTees,ENG,UK & Ireland,ENG,,,,,177,71,0,3,,
Conor Chaplin,AM (RC),Forward,Portsmouth,English Football League 2,ENG,ENG4,5,26/09/1996,9,1,6852,225,18,NaN,ENG,UK & Ireland,ENG,,,,,168,64,1,9,,
Max Hazeldine,"AM (C), ST (C)",Forward,Accrington,English Football League 2,ENG,ENG4,5,21/09/1996,9,1,6857,225,18,Stockport,ENG,UK & Ireland,ENG,,,,,178,75,0,1,,
Connor Mahoney,"AM (RLC), ST (C)",Forward,Blackburn,English Football League Championship,ENG,ENG2,3,21/09/1996,9,1,6857,225,18,Blackburn,ENG,UK & Ireland,ENG,,,,,181,68,0,4,,
Adam Armstrong,ST (C),Forward,Coventry,English Football League 1,ENG,ENG3,4,20/09/1996,9,1,6858,225,18,Newcastle,ENG,UK & Ireland,ENG,,,,,173,69,0,15,,
Patrick Roberts,"M (R), AM (RLC)",Midfielder,Man City,English Premier Division,ENG,ENG1,1,11/09/1996,9,1,6867,225,18,Kingston upon Thames,ENG,UK & Ireland,ENG,,,,,167,58,0,19,,
Josh Cooke,ST (C),Forward,Swindon,English Football League 1,ENG,ENG3,4,11/09/1996,9,1,6867,225,18,Gloucester,ENG,UK & Ireland,ENG,,,,,188,80,1,7,,
Lewis Cook,"DM, M (C)",Midfielder,Leeds,English Football League Championship,ENG,ENG2,3,01/09/1996,9,1,6877,226,18,Leeds,ENG,UK & Ireland,ENG,,,,,176,71,0,37,,
Adam Burnaby-Atkins,M (RC),Midfielder,FCV Dender,Belgian Third Division A,BEL,#N/A,#N/A,24/08/1996,8,4,6885,226,18,Cape Town,ENG,Southern Africa,ENG,RSA,,,,173,69,3,19,,
Giorgio Rasulo,"M/AM (C), ST (C)",Midfielder,MK Dons,English Football League Championship,ENG,ENG2,3,19/06/1996,6,4,6951,228,18,Banbury,ENG,UK & Ireland,ENG,ITA,,,,178,75,0,13,,
Magnus Norman,GK,Goalkeeper,Hayes & Yeading,NaN,ENG,NONE,7,09/06/1996,6,4,6961,228,18,NaN,ENG,UK & Ireland,ENG,,,,,191,83,0,10,,
Nyal Bell,ST (C),Forward,Rochdale,English Football League 1,ENG,ENG3,4,06/06/1996,6,4,6964,228,18,Manchester,ENG,UK & Ireland,ENG,,,,,191,89,0,3,,
Harry Anderson,M (RL),Midfielder,Peterborough,English Football League 1,ENG,ENG3,4,30/04/1996,4,3,7001,230,18,Slough,ENG,UK & Ireland,ENG,,,,,180,74,0,6,,
Jack Cowgill,D (C),Defender,Barnsley,English Football League 1,ENG,ENG3,4,28/04/1996,4,3,7003,230,18,Wakefield,ENG,UK & Ireland,ENG,,,,,186,85,0,2,,
Izzy Brown,"AM (RL), ST (C)",Forward,Vitesse,Eredivisie,NED,NED1,2,15/04/1996,4,3,7016,230,18,Peterborough,ENG,UK & Ireland,ENG,,,,,184,77,0,2,,
Kane Adams,D (L),Defender,NaN,NaN,ENG,NONE,7,07/02/1996,2,2,7084,232,18,NaN,ENG,UK & Ireland,ENG,,,,,174,63,0,6,,
Peter Denton,GK,Goalkeeper,Hartlepool,English Football League 2,ENG,ENG4,5,06/02/1996,2,2,7085,232,18,Milton Keynes,ENG,UK & Ireland,ENG,,,,,174,71,0,7,,
Jarrod Bowen,ST (C),Forward,Hull,English Football League Championship,ENG,ENG2,3,27/01/1996,1,2,7095,233,18,Hereford,ENG,UK & Ireland,ENG,,,,,176,70,1,8,,
Anthony Dwyer,ST (C),Forward,Mansfield,English Football League 2,ENG,ENG4,5,08/01/1996,1,2,7114,233,18,NaN,ENG,UK & Ireland,ENG,,,,,187,80,1,8,,
Joe Quigley,ST (C),Forward,Bournemouth,English Premier Division,ENG,ENG1,1,01/01/1996,1,2,7121,234,18,Hayes,ENG,UK & Ireland,ENG,,,,,192,82,6,18,,
Freddie Grant,D (L),Defender,Oxford,English Football League 2,ENG,ENG4,5,18/12/1995,12,2,7135,234,18,Tilehurst,ENG,UK & Ireland,ENG,,,,,189,80,0,15,,
DeVante Jacobs,"AM (RLC), ST (C)",Forward,NaN,NaN,ENG,NONE,7,12/12/1995,12,2,7141,234,18,NaN,ENG,UK & Ireland,ENG,,,,,184,80,0,1,,
Dominic Telford,ST (C),Forward,Stoke,English Premier Division,ENG,ENG1,1,07/12/1995,12,2,7146,234,18,Burnley,ENG,UK & Ireland,ENG,,,,,173,64,1,14,,
Jonathan Edwards,ST (C),Forward,Ilkeston,NaN,ENG,NONE,7,06/11/1995,11,1,7177,235,18,Luton,ENG,UK & Ireland,ENG,,,,,180,64,0,3,,
Fred Onyedinma,AM (C),Forward,Millwall,English Football League 1,ENG,ENG3,4,04/11/1995,11,1,7179,235,18,London,ENG,UK & Ireland,ENG,NGA,,,,183,75,8,31,,
James Maddison,M/AM (C),Midfielder,Coventry,English Football League 1,ENG,ENG3,4,03/11/1995,11,1,7180,235,18,Coventry,ENG,UK & Ireland,ENG,,,,,179,73,2,12,,
Montel Agyemang,M (RC),Midfielder,Leyton Orient,English Football League 2,ENG,ENG4,5,01/11/1995,11,1,7182,236,18,NaN,ENG,UK & Ireland,ENG,GHA,,,,187,77,0,4,,
Lee Marshall,M (C),Midfielder,Swindon,English Football League 1,ENG,ENG3,4,27/10/1995,10,1,7187,236,18,Gloucester,ENG,UK & Ireland,ENG,,,,,179,75,0,2,,
Jamal Lawrence,M/AM (R),Midfielder,Cheltenham,NaN,ENG,NONE,7,26/10/1995,10,1,7188,236,18,Gloucester,ENG,UK & Ireland,ENG,,,,,171,63,0,7,,
Dan Cockerline,ST (C),Forward,Sheff Utd,English Football League 1,ENG,ENG3,4,21/10/1995,10,1,7193,236,18,Warrington,ENG,UK & Ireland,ENG,,,,,188,77,3,8,,
Chris Spencer,"D (R), M (C)",Defender,Mansfield,English Football League 2,ENG,ENG4,5,17/10/1995,10,1,7197,236,18,NaN,ENG,UK & Ireland,ENG,,,,,182,77,0,7,,
Jerry Yates,ST (C),Forward,Rotherham,English Football League Championship,ENG,ENG2,3,08/10/1995,10,1,7206,236,18,Doncaster,ENG,UK & Ireland,ENG,,,,,172,66,2,4,,
Toby Mullarkey,D (C),Defender,Crewe,English Football League 1,ENG,ENG3,4,27/09/1995,9,1,7217,237,18,Warrington,ENG,UK & Ireland,ENG,,,,,186,76,0,8,,
Colby Bishop,"AM (C), ST (C)",Forward,Notts Co,English Football League 2,ENG,ENG4,5,27/09/1995,9,1,7217,237,18,NaN,ENG,UK & Ireland,ENG,,,,,181,73,0,3,,
Shaun Rowley,GK,Goalkeeper,Shrewsbury,English Football League 1,ENG,ENG3,4,16/09/1995,9,1,7228,237,18,Shrewsbury,ENG,UK & Ireland,ENG,,,,,189,87,0,5,,
George Cooper,"M (L), AM (LC)",Midfielder,Crewe,English Football League 1,ENG,ENG3,4,07/09/1995,9,1,7237,237,18,Warrington,ENG,UK & Ireland,ENG,,,,,175,80,3,22,,
Gradi Milenge,D (C),Defender,Brentford,English Football League Championship,ENG,ENG2,3,01/09/1995,9,1,7243,238,18,NaN,ENG,UK & Ireland,ENG,,,,,183,78,0,3,,
Joe Brennan,"AM (L), ST (C)",Forward,Bradford City,English Football League 1,ENG,ENG3,4,27/04/1995,4,3,7370,242,18,Huddersfield,ENG,UK & Ireland,ENG,,,,,180,75,2,7,,
Tom Peers,ST (C),Forward,Chester,NaN,ENG,NONE,7,21/04/1995,4,3,7376,242,18,Warrington,ENG,UK & Ireland,ENG,,,,,189,73,1,18,,
Mason Holgate,D (RC),Defender,Everton,English Premier Division,ENG,ENG1,1,27/03/1995,3,3,7401,243,18,Doncaster,ENG,UK & Ireland,ENG,,,,,181,76,1,20,,
Daniel Lavercombe,GK,Goalkeeper,Torquay,NaN,ENG,NONE,7,28/02/1995,2,2,7428,244,18,Torquay,ENG,UK & Ireland,ENG,,,,,191,71,0,5,,
Tyler Walker,ST (C),Forward,Nottm Forest,English Football League Championship,ENG,ENG2,3,17/01/1995,1,2,7470,245,18,Nottingham,ENG,UK & Ireland,ENG,,,,,178,64,1,7,,
Connor Smith,M (R),Midfielder,Hartlepool,English Football League 2,ENG,ENG4,5,29/11/1994,11,1,7519,247,18,StocktonNaNonNaNTees,ENG,UK & Ireland,ENG,,,,,182,74,0,9,,
Kyle Wootton,ST (C),Forward,Scunthorpe,English Football League 1,ENG,ENG3,4,19/11/1994,11,1,7529,247,18,NaN,ENG,UK & Ireland,ENG,,,,,188,80,1,12,,
Mark Waddington,M (C),Midfielder,Stoke,English Premier Division,ENG,ENG1,1,17/11/1994,11,1,7531,247,18,Wigan,ENG,UK & Ireland,ENG,,,,,188,80,0,3,,
Marcus Poscha,D (C),Defender,Bury,English Football League 1,ENG,ENG3,4,31/10/1994,10,1,7548,248,18,Rochdale,ENG,UK & Ireland,ENG,,,,,180,76,0,1,,
Jake Eastwood,GK,Goalkeeper,Sheff Utd,English Football League 1,ENG,ENG3,4,03/09/1994,9,1,7606,249,18,Sheffield,ENG,UK & Ireland,ENG,,,,,191,82,0,25,,
Ryan Johnson,D (C),Defender,Stevenage,English Football League 2,ENG,ENG4,5,10/08/1994,8,4,7630,250,18,Birmingham,ENG,UK & Ireland,ENG,NIR,,,,188,77,0,1,,
Jamie Philpot,ST (C),Forward,Millwall,English Football League 1,ENG,ENG3,4,04/08/1994,8,4,7636,250,18,NaN,ENG,UK & Ireland,ENG,,,,,181,75,1,1,,
Connor Hammell,"M (C), AM (LC)",Midfielder,Carlisle,English Football League 2,ENG,ENG4,5,03/03/1994,3,3,7790,255,18,Whitehaven,ENG,UK & Ireland,ENG,,,,,173,67,0,3,,
Matthew Clarke,D (C),Defender,Portsmouth,English Football League 2,ENG,ENG4,5,06/10/1993,10,1,7938,260,18,Ipswich,ENG,UK & Ireland,ENG,,,,,188,83,0,4,,
Jerome Sinclair,ST (C),Forward,Liverpool,English Premier Division,ENG,ENG1,1,24/03/1993,3,3,8134,267,18,Birmingham,ENG,UK & Ireland,ENG,JAM,,,,181,79,0,3,,
Tony Lee,ST (C),Forward,Eastleigh,NaN,ENG,NONE,7,17/02/1993,2,2,8169,268,18,Southampton,ENG,UK & Ireland,ENG,,,,,174,71,0,1,,
Anthony Dudley,ST (C),Forward,Bury,English Football League 1,ENG,ENG3,4,18/09/1992,9,1,8321,273,18,Manchester,ENG,UK & Ireland,ENG,,,,,178,70,0,3,,
Myles Wright,GK,Goalkeeper,Chesterfield,English Football League 1,ENG,ENG3,4,09/03/1992,3,3,8514,279,18,NaN,ENG,UK & Ireland,ENG,,,,,188,79,0,1,,
Jake Wright,ST (C),Forward,Sheff Utd,English Football League 1,ENG,ENG3,4,11/05/1991,5,3,8817,289,18,Sheffield,ENG,UK & Ireland,ENG,,,,,176,64,12,17,,
Sam Hillhouse,ST (C),Forward,FC Halifax,NaN,ENG,NONE,7,08/12/1990,12,2,8971,294,18,Halifax,ENG,UK & Ireland,ENG,,,,,181,68,0,5,,
Jack Tuohy,M (C),Midfielder,Oldham,English Football League 1,ENG,ENG3,4,29/10/1990,10,1,9011,296,18,Oldham,ENG,UK & Ireland,ENG,,,,,176,64,0,1,,
Ben Jago,M (R),Midfielder,Hyde,NaN,ENG,NONE,7,20/06/1990,6,4,9142,300,18,Widnes,ENG,UK & Ireland,ENG,,,,,173,66,0,2,,
Tom Rosenthal,AM (C),Forward,Q.P.R.,English Football League Championship,ENG,ENG2,3,06/11/1989,11,1,9368,307,18,London,ENG,UK & Ireland,ENG,BEL,,,,189,80,0,4,,
Reece Burke,D (C),Defender,West Ham,English Premier Division,ENG,ENG1,1,14/02/1989,2,2,9633,316,18,London,ENG,UK & Ireland,ENG,,,,,189,81,0,5,,
Joe Kearns,D (C),Defender,Crewe,English Football League 1,ENG,ENG3,4,28/11/1988,11,1,9711,319,18,Liverpool,ENG,UK & Ireland,ENG,,,,,180,74,0,5,,
Mitchell Lund,D (R),Defender,Doncaster,English Football League 1,ENG,ENG3,4,11/10/1988,10,1,9759,320,18,Leeds,ENG,UK & Ireland,ENG,,,,,186,75,0,4,,
Justin Johnson,M/AM (RL),Midfielder,Dundee Utd,Scottish Premiership,SCO,SCO1,3,10/10/1988,10,1,9760,320,18,NaN,ENG,UK & Ireland,ENG,NED,,,,182,69,0,1,,
Jack Whatmough,D (C),Defender,Portsmouth,English Football League 2,ENG,ENG4,5,22/11/1987,11,1,10083,331,18,Gosport,ENG,UK & Ireland,ENG,,,,,190,81,0,34,,
Callum Burton,GK,Goalkeeper,Shrewsbury,English Football League 1,ENG,ENG3,4,27/10/1987,10,1,10109,332,18,Shrewsbury,ENG,UK & Ireland,ENG,,,,,183,70,0,7,,
George Smith,D (L),Defender,Barnsley,English Football League 1,ENG,ENG3,4,04/10/1987,10,1,10132,332,18,Barnsley,ENG,UK & Ireland,ENG,,,,,178,74,0,18,,
Kabongo Tshimanga,ST (C),Forward,MK Dons,English Football League Championship,ENG,ENG2,3,19/03/1987,3,3,10331,339,18,NaN,ENG,UK & Ireland,ENG,CGO,,,,180,72,0,6,,
Ben Close,"DM, M (C)",Midfielder,Portsmouth,English Football League 2,ENG,ENG4,5,22/10/1986,10,1,10479,344,18,Portsmouth,ENG,UK & Ireland,ENG,,,,,180,72,0,12,,
Ben Holmes,"M (LC), AM (L)",Midfielder,Huddersfield,English Football League Championship,ENG,ENG2,3,05/10/1986,10,1,10496,344,18,Oldham,ENG,UK & Ireland,ENG,,,,,178,71,1,9,,
Jack Finch,"DM, M (C)",Midfielder,Coventry,English Football League 1,ENG,ENG3,4,01/10/1986,10,1,10500,345,18,Banbury,ENG,UK & Ireland,ENG,,,,,187,78,0,16,,
Charlie Grainger,GK,Goalkeeper,Leyton Orient,English Football League 2,ENG,ENG4,5,22/06/1986,6,4,10601,348,18,Enfield,ENG,UK & Ireland,ENG,,,,,187,68,0,16,,
Tom Hadler,GK,Goalkeeper,Gillingham,English Football League 1,ENG,ENG3,4,15/04/1986,4,3,10669,350,18,NaN,ENG,UK & Ireland,ENG,,,,,188,81,0,17,,
Aaron McGowan,D/WB (R),Defender,Morecambe,English Football League 2,ENG,ENG4,5,17/10/1985,10,1,10849,356,18,Liverpool,ENG,UK & Ireland,ENG,,,,,181,80,1,11,,
Joe Aribo,M/AM (L),Midfielder,Charlton,English Football League Championship,ENG,ENG2,3,23/01/1985,1,2,11116,365,18,London,ENG,UK & Ireland,ENG,,,,,187,72,0,23,,
Kane Farrell,D (L),Defender,NaN,NaN,ENG,NONE,7,22/04/1984,4,3,11392,374,18,NaN,ENG,UK & Ireland,ENG,,,,,180,75,0,9,,
Mason Bennett,ST (C),Forward,Derby,English Football League Championship,ENG,ENG2,3,07/02/1984,2,2,11467,376,18,Mansfield,ENG,UK & Ireland,ENG,,,,,181,65,2,48,,
Teddy Bishop,M (C),Midfielder,Ipswich,English Football League Championship,ENG,ENG2,3,29/01/1984,1,2,11476,377,18,Cambridge,ENG,UK & Ireland,ENG,,,,,176,72,1,33,,
Che Adams,"AM (R), ST (C)",Forward,Sheff Utd,English Football League 1,ENG,ENG3,4,23/03/1983,3,3,11788,387,18,Leicester,ENG,UK & Ireland,ENG,ATG,,,,183,74,14,86,,
Farrend Rawson,D/WB (R),Defender,Rotherham,English Football League Championship,ENG,ENG2,3,23/01/1983,1,2,11847,389,18,Nottingham,ENG,UK & Ireland,ENG,,,,,185,73,0,3,,
Sam Corne,M (C),Midfielder,Welling,NaN,ENG,NONE,7,16/01/1983,1,2,11854,389,18,London,ENG,UK & Ireland,ENG,,,,,172,63,1,33,,
Demarai Gray,M/AM (RL),Midfielder,Birmingham,English Football League Championship,ENG,ENG2,3,27/05/1980,5,3,12818,421,19,Birmingham,ENG,UK & Ireland,ENG,,,,,178,78,7,48,,
Bilal Yafai,M/AM (L),Midfielder,Rushall,NaN,ENG,NONE,7,19/03/1980,3,3,12887,423,19,Birmingham,ENG,UK & Ireland,ENG,,,,,186,74,8,18,,
Perry Ng,D (C),Defender,Crewe,English Football League 1,ENG,ENG3,4,27/03/1979,3,3,13245,435,19,Liverpool,ENG,UK & Ireland,ENG,SIN,,,,180,77,1,13,,
Harry Hickford,D (C),Defender,MK Dons,English Football League Championship,ENG,ENG2,3,21/03/1978,3,3,13616,447,19,Milton Keynes,ENG,UK & Ireland,ENG,,,,,185,76,1,24,,
James Roberts,"AM (R), ST (C)",Forward,Oxford,English Football League 2,ENG,ENG4,5,18/05/1977,5,3,13923,457,19,Aylesbury,ENG,UK & Ireland,ENG,,,,,183,70,3,25,,
Ryan Richefond,M (C),Midfielder,NaN,NaN,ENG,NONE,7,16/06/1996,6,4,6954,228,19,London,ENG,UK & Ireland,ENG,,,,,170,63,0,3,,
Billy Whitehouse,AM (L),Forward,Doncaster,English Football League 1,ENG,ENG3,4,10/06/1996,6,4,6960,228,19,Rotherham,ENG,UK & Ireland,ENG,,,,,181,73,0,4,,
Hakeeb Adelakun,M/AM (R),Midfielder,Scunthorpe,English Football League 1,ENG,ENG3,4,09/06/1996,6,4,6961,228,19,London,ENG,UK & Ireland,ENG,,,,,190,75,8,62,,
Sam Vince,GK,Goalkeeper,Lincoln Utd,NaN,ENG,NONE,7,13/05/1996,5,3,6988,229,19,Boston,ENG,UK & Ireland,ENG,,,,,190,83,0,16,,
Alex Finney,D (C),Defender,Bolton,English Football League Championship,ENG,ENG2,3,07/05/1996,5,3,6994,229,19,Huddersfield,ENG,UK & Ireland,ENG,,,,,188,81,0,2,,
Jordan Murphy,ST (C),Forward,Walsall,English Football League 1,ENG,ENG3,4,30/04/1996,4,3,7001,230,19,NaN,ENG,UK & Ireland,ENG,,,,,177,71,2,10,,
